block_num,txn_hash,token_x,token_y,sender,opt,opt_time,amount
4539503,0xb313728c9e218ea4103bb9a0f4692b373b7de6c24204a402d094595081fc5c1e,STC::STC,STAR::STAR,0x8da6ffcecb172829ed8b32667dbe9441,add_liquidity,2022-03-05 16:02:17,"(7985308375, 28865456334)"
4539566,0x361fbb7d5460adc3cd45241aa0565a051bb5df83c1faa46ab1c220f159895a6b,STC::STC,FAI::FAI,0x26cceafbe90efbe454531e1bbda56989,add_liquidity,2022-03-05 16:07:01,"(140000000000000, 12591376400083)"
4539635,0xac5f05c8b08dfb40cb23e2d552ed9cf9be0009d9532bd859b7deef367ca8b0f3,STC::STC,STAR::STAR,0x236e3246c470de88dcf2657579d0ad60,add_liquidity,2022-03-05 16:13:00,"(266140047271, 962298523129)"
4539681,0xe028e1fa15464aaf60025943f11e0245daf3c24ea6c4228edc228cb5b9f0594f,STC::STC,STAR::STAR,0x3a9798cef7077ecae747cb10145d12ae,add_liquidity,2022-03-05 16:16:54,"(1368318609660, 4947511623099)"
4539728,0x38bb3636d0d87e2537b59ef5d4e27c39f26534ec6ce102be4cf97d7f3505fd2a,STC::STC,FAI::FAI,0x26cceafbe90efbe454531e1bbda56989,add_liquidity,2022-03-05 16:21:02,"(24547951214157, 2208000000000)"
4536013,0xf35eb131abdf0a36e371df58bb093b58fb13b39e3bc25b0728c4c46d0512fb99,STC::STC,STAR::STAR,0x6b1a630efa3620b1983032313e40d7bb,add_liquidity,2022-03-05 11:09:08,"(68756976069844, 207901158266915)"
4536035,0xc5dfa8547d835de8cd4465db92c7fcde615c2e2b689e7f285ddd26c233ec9a0b,STC::STC,STAR::STAR,0xb9c17e73f4d6eac8c88ba0f296fe4ce5,remove_liquidity,2022-03-05 11:10:49,3600736869272
4536038,0xc404004cd1877b1bbf4eb19114f18a1686e5df36146402b8e9c4c5ab25bd80ea,STC::STC,STAR::STAR,0xe6518350bdca03bf8bf463b76936981b,add_liquidity,2022-03-05 11:11:07,"(32906881902, 100000000000)"
4536054,0xd20bd7d56d50023dea2480ef3f00aec95cff0a488cf036bcaa1a4e534a181f0c,STC::STC,FAI::FAI,0x5838b8241c7f85e8d1445ff0154366c3,add_liquidity,2022-03-05 11:12:33,"(7587239217377, 700000000000)"
4536056,0x945e4b8cdd3b034463a67b8be4510656b15b63b060faf22a1c78c09ed12dba53,STC::STC,STAR::STAR,0x4d676da54966d8f7c6c976df744c7472,add_liquidity,2022-03-05 11:12:40,"(1444000000000, 4420496254491)"
4536091,0xe1ae151450734422f4515965a866ad0a179158897a273413db745ba2974ec167,STC::STC,FAI::FAI,0xc0f4f25c4b2f453f52d66f23e54f8a2f,add_liquidity,2022-03-05 11:15:41,"(7587241266735, 700000000000)"
4536091,0x356e4093c927206e236f8886c3c3a5c339002d9fbb81a2a7a6a14692de63362c,STC::STC,FAI::FAI,0x9b2cbcf941fd50aaf0e58b0e67f5f1ee,add_liquidity,2022-03-05 11:15:41,"(74788521057830, 6900000000001)"
4536112,0x142f9596a1b0b8b0951242da90c98828bbbf776e0836026841f73308a98885b8,STC::STC,FAI::FAI,0xe10d2a152e9cb36e1d4d4a5edbdc39eb,add_liquidity,2022-03-05 11:17:16,"(7839603846511, 700000000000)"
4536112,0xe35d257b62254774cfde8e2ea24f5d8804489aae075a101846bc3ad3e0ea8d3a,STC::STC,FAI::FAI,0x914a322d5a180e3a0e8f2c076b1e4751,add_liquidity,2022-03-05 11:17:16,"(38511700097511, 3438718409254)"
4536142,0x78cb3641509bea84227e32d7836d8e4d049b058748c411e583e84ff9273307dc,STC::STC,FAI::FAI,0x145667af479ac518c0ed88ac7188f5bb,add_liquidity,2022-03-05 11:19:38,"(7839603846511, 700000000000)"
4536218,0x4bcb59e30d4084a1ff0450dc2d589e005d1dbb7888e250288054ace244329e29,STC::STC,STAR::STAR,0xa86c0fdd86072f8a4a36c1eb756defec,add_liquidity,2022-03-05 11:26:08,"(90000000000, 373905427312)"
4536219,0xf30778f4dc0eea043d7c3b565612a18953ed970024657c6134bf957ac7ffb386,STC::STC,STAR::STAR,0x5a5bdf7587386ed006fd17d375e54ce6,add_liquidity,2022-03-05 11:26:10,"(47477863440771, 197247009085689)"
4536255,0xa90f5dfdb75c1d73ed55c68f5e67d6d3d9c0fa1ea6f0575ca39066f7d75728b7,STC::STC,STAR::STAR,0x44bc6adfdc1f718ed2014699b239f035,add_liquidity,2022-03-05 11:29:10,"(998883584580, 4134250128325)"
4536258,0xa614ef4927c0eb9b51fd2a14e50fd1e4ecf8655b2c69aa335a8d6adaa242dda6,STC::STC,STAR::STAR,0xbb0604f4cae35139dbc4789d3fb98403,add_liquidity,2022-03-05 11:29:25,"(31435200436, 130106234044)"
4536263,0x9a604b78f0ca726771ff34d7305e498048a047069cd2f1165b462a44f14fb421,STC::STC,STAR::STAR,0xa86c0fdd86072f8a4a36c1eb756defec,add_liquidity,2022-03-05 11:29:56,"(400000000000, 1655548331013)"
4536286,0x5a248737887bc20d359bb4fa0ce3be342da0a57d6ba2f892784a70a1fe704753,STC::STC,STAR::STAR,0x44bc6adfdc1f718ed2014699b239f035,add_liquidity,2022-03-05 11:31:53,"(319231997249, 1319673160175)"
4536303,0xbde872f1bfb4e9f9fdf849f4d891b7f67cfdc214cd73b14c774ca92d9d6f35fb,STC::STC,STAR::STAR,0xa86c0fdd86072f8a4a36c1eb756defec,add_liquidity,2022-03-05 11:33:07,"(180000000000, 744102003802)"
4536319,0xeb6e88856c6c635f040fc579b91f354a10a31190026f0d2b325e9920e8ede442,STC::STC,STAR::STAR,0x288b1c32870b9478c2613576f28842ac,add_liquidity,2022-03-05 11:34:36,"(50000000000, 206695001056)"
4536330,0x4ee6fb23b8c49f03ded32476ff566af4a5da2f7e9424017b3b4e224b26b99656,STC::STC,STAR::STAR,0xb1f940f2b8171c0b44dee9e2534e753f,add_liquidity,2022-03-05 11:35:22,"(64216008035, 265000000000)"
4536406,0x231a0e885951815f966efbb73017782f1f30c90dce04d5ecf1534ae67ef3ce57,STC::STC,STAR::STAR,0xb1f940f2b8171c0b44dee9e2534e753f,add_liquidity,2022-03-05 11:41:55,"(242340691523, 1000000000000)"
4536412,0x18f9a545de00b405dbbd3b069e27bfeafb9abb7f16d68369ed9d7b44a60b760a,STC::STC,STAR::STAR,0x49d57f18095a3efab174a2ccbc225d14,add_liquidity,2022-03-05 11:42:28,"(1000000000000, 4126422160931)"
4536443,0x9d925fe9fae9690da6e3ff48c54c734b35363e8326c91ca4bd824fe128205a36,STC::STC,STAR::STAR,0xe8c1b784696130e121fa956caff0ace0,add_liquidity,2022-03-05 11:44:40,"(2423443148, 10000000000)"
4536477,0x6f3698b2142b684127c1de9a291c469ce4d7a4a5b06f3ef53796fb3a7bd5c362,STC::STC,STAR::STAR,0xe8c1b784696130e121fa956caff0ace0,add_liquidity,2022-03-05 11:47:18,"(7270872951, 30000000000)"
4536506,0x1d222fea2aa1d9be7bf1270843f9214be6f80be9a3e2fd4fd6ffd95e944ce54c,STC::STC,STAR::STAR,0xb1f940f2b8171c0b44dee9e2534e753f,add_liquidity,2022-03-05 11:50:14,"(3685103406833, 15000003165775)"
4536577,0xff34ba7bbe0f6018166b9f36be8ddcecab6ebe8d4856599903ebb0d3189017f0,STC::STC,STAR::STAR,0x5a5bdf7587386ed006fd17d375e54ce6,remove_liquidity,2022-03-05 11:55:58,98422738047199
4536827,0x982b1ad2649ad0e8872bc07b1878390d39a8c37fa4e3ae37188c1736e317d377,STC::STC,STAR::STAR,0xbd36e5eff5b7840b4643d81db05409b0,add_liquidity,2022-03-05 12:17:14,"(4445713632, 20816997447)"
4536830,0x4d2f66bce03fea7797644515b4e282f83cddc20604f4408212f7f64819c913ae,STC::STC,STAR::STAR,0xb87b11e72aaf8386d46052c371bb0455,add_liquidity,2022-03-05 12:17:29,"(10185618031409, 47694026668252)"
4536857,0x0966d1bac3c62c722886b115a72cc5d65e2533f013ed29d613bf7527a0c4b26b,STC::STC,FAI::FAI,0x08bf0cd79c484514cca26af5277f2310,remove_liquidity,2022-03-05 12:19:58,1586811843556
4536864,0x6833e354e01f73da84e67db9e955c001adc3fd0a88e42c9a30fcdf04c3c944e5,STC::STC,STAR::STAR,0xbd36e5eff5b7840b4643d81db05409b0,add_liquidity,2022-03-05 12:20:35,"(99721222442, 466744875622)"
4536944,0x9934d44c359aaa0e0fc91bf2ddcb4176b04aac96c029a6a71c45ab6f30e8c7ff,STC::STC,STAR::STAR,0xc2d50b7909392faa2a7b353675ce8ad9,add_liquidity,2022-03-05 12:26:52,"(2509359881590, 11622903444414)"
4536994,0x87479d30a5ec3414719a04d53758b8aad031c5cbeed2c818de5ef8355f465958,STC::STC,STAR::STAR,0xa2cc5860ce18bfa077a89a3c9b237b6a,add_liquidity,2022-03-05 12:31:14,"(526557279904, 2438918573290)"
4536999,0x43bf8d2ad094184de8948dfd69ea6cba258e774db4d8ecc134cbe3570439a43f,STC::STC,STAR::STAR,0xbd36e5eff5b7840b4643d81db05409b0,add_liquidity,2022-03-05 12:31:34,"(4487776436, 20786179987)"
4535004,0xdb9bbddb4da9f9dfa985835aa88911a18c82271e959b04a992731ef15addb463,STC::STC,STAR::STAR,0x6e9b83adaa64f901048ae4bead8a1016,add_liquidity,2022-03-05 09:43:57,"(9970544499, 95892333874)"
4535092,0x081a9242b06a6254c707287885b39cdf2a499905c9fad03503d39bb30866ce01,STC::STC,FAI::FAI,0x0c357315f9351540114596324f41006e,remove_liquidity,2022-03-05 09:51:35,620661908705
4535105,0x796e0703882bd795fc0545e6252f2820de45fa627e05c15e28940a5b7cc900c9,STC::STC,FAI::FAI,0x5e3596e11c09fb16790e8310d8e3bff1,add_liquidity,2022-03-05 09:52:59,"(1000000000000, 103828706354)"
4535127,0xaf8fadcce33dc29db909e2a59de97c6f000b0262adcc3c4749fac66e00c6f7d1,STC::STC,FAI::FAI,0x8769fe40ff8c86661e1a47b88017e7c5,add_liquidity,2022-03-05 09:54:38,"(6388082700988, 663266362926)"
4535129,0x02f8de9521caaac7c991e425d96b30a7047179340f0f8a8a2f8588f79ad9a4ea,STC::STC,FAI::FAI,0x0c357315f9351540114596324f41006e,add_liquidity,2022-03-05 09:54:51,"(963400000000000, 100000000000000)"
